Title,Serie,Folio,RFC,Fecha de subida,Status,Ruta,Nombre de factura,Acuse,Created,Linea ,Comentarios
"COPPEL",,"932906","COP920428Q20",,"Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_ME_932906",,"4/21/2023 4:32 AM",,
"COPPEL",,"932905","COP920428Q20",,"Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_ME_932905",,"4/21/2023 4:32 AM",,
"COPPEL",,"932904","COP920428Q20",,"Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_ME_932904",,"4/21/2023 4:33 AM",,
"COPPEL",,"932903","COP920428Q20",,"Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_ME_932903",,"4/21/2023 4:33 AM",,
"COPPEL",,"932902","COP920428Q20",,"Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_ME_932902",,"4/21/2023 4:33 AM",,
"COPPEL",,"932901","COP920428Q20",,"Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_ME_932901",,"4/21/2023 4:33 AM",,
"STELLANTIS MEXICO",,"931935","CME720930GM9",,"Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_ME_931935",,"4/21/2023 1:34 PM",,
"STELLANTIS MEXICO",,"931007","CME720930GM9",,"Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_ME_931007",,"4/21/2023 1:34 PM",,
"STELLANTIS MEXICO",,"931474","CME720930GM9",,"Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_ME_931474",,"4/21/2023 1:34 PM",,
"COPPEL",,"933414","COP920428Q20",,"Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_ME_933414",,"4/22/2023 4:32 AM",,
"COPPEL",,"933410","COP920428Q20",,"Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_ME_933410",,"4/22/2023 4:33 AM",,
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"76929","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_76929",,"4/24/2023 7:03 AM",,"Aceptado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"76928","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_76928",,"4/24/2023 7:03 AM",,"Aceptado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"76927","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_76927",,"4/24/2023 7:04 AM",,"Aceptado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"76926","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_76926",,"4/24/2023 7:04 AM",,"Aceptado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"76925","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_76925",,"4/24/2023 7:04 AM",,"Aceptado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"76924","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_76924",,"4/24/2023 7:04 AM",,"Rechazado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"76923","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_76923",,"4/24/2023 7:04 AM",,"Aceptado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"76922","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_76922",,"4/24/2023 7:04 AM",,"Aceptado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"76921","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_76921",,"4/24/2023 7:04 AM",,"Aceptado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"76920","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_76920",,"4/24/2023 7:04 AM",,"Aceptado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"76919","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_76919",,"4/24/2023 7:04 AM",,"Aceptado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"76918","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_76918",,"4/24/2023 7:04 AM",,"Aceptado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"76917","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_76917",,"4/24/2023 7:04 AM",,"Aceptado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"77029","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_77029",,"4/25/2023 7:03 AM",,"Aceptado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"77032","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_77032",,"4/25/2023 7:03 AM",,"Aceptado"
"MAZDA MOTOR MANUFACTURING DE MEXICO",,"77031","MMM110613MZ4","05/01/2023","Completo","/:f:/r/sites/PSMexicoOTC/Shared%20Documents/CLARIOS%20-%20RPA/Facturas%20nuevas?csf=1&web=1&e=YqjO3R","JCA100604EF4_IEH_77031",,"4/25/2023 7:03 AM",,"Aceptado"
